ParticipantId,QuestionId,Seq,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MiddleGamma,HRV,Exam Difficulty,Cognitive Load Level
1,1,83,6639,49095,3550,2848,9105,2054,2917,1236,18.01,1,1
1,1,84,7594,13919,7771,4354,5902,4229,3292,1460,24.29,1,1
1,1,85,24816,4730,3441,13328,4797,2547,2442,415,8.78,1,0
1,1,86,4700,7516,4336,1560,5460,5126,3667,1498,25.09,1,1
1,1,87,11987,15538,4032,2460,8526,2756,1503,1596,30.98,1,1
1,1,88,4778,22272,1034,688,5523,1803,1531,995,40.99,1,1
1,1,89,19834,2025,2383,2772,6732,3556,2164,685,45.75,1,1
1,1,90,1757,5117,6024,4160,2943,4131,2884,958,38.13,1,1
1,1,91,10846,12699,2011,2493,10458,5606,1945,859,42.5,1,1
1,1,92,1898,5741,4640,2621,4198,5168,1730,1626,35.12,1,1
1,1,93,5051,71289,9419,8607,2980,3303,4770,1443,28.35,1,1
1,1,94,1831,24972,2737,7226,3056,6892,2577,1337,19.34,1,2
1,1,95,1555,39398,2223,2118,8270,6575,1943,744,39.72,1,1
1,1,96,10751,23822,2073,1081,7948,4260,2870,507,37.41,1,2
1,1,97,4339,16081,6615,4615,10112,3933,6941,803,35.14,1,1
1,1,98,4374,3024,25295,1885,1729,3180,5240,1187,32.35,1,1
1,1,99,10876,22590,1321,2458,7256,3014,1487,807,22,1,2
1,1,100,8670,10522,1694,4063,3131,3294,861,1026,40.24,1,1
1,1,101,4156,6359,881,1364,7337,5082,1280,189,30.38,1,1
1,1,102,4150,14932,11122,12192,8269,2256,2250,595,29.32,1,1
1,1,103,4969,2776,4590,820,8622,5214,2619,1971,35.88,1,1
1,1,104,8546,8529,2109,3969,9535,4051,2735,729,24.25,1,1
1,1,105,14468,19800,3112,1344,4303,2024,2617,1350,38.66,1,2
1,1,106,10163,13359,4947,5398,6803,6117,3847,1249,26.92,1,2
1,1,107,3906,10641,6897,9255,5250,2730,2916,1161,27.71,1,1
1,1,108,6020,12303,16440,2314,12887,8116,1468,299,37.9,1,1
1,1,109,8380,32865,8979,6849,15389,6387,1809,1244,17.32,1,1
1,1,110,7866,30658,6733,8822,9367,8384,2409,1481,46.8,1,0
1,1,111,5007,16778,3588,6876,8876,9574,2682,1433,39.8,1,1
1,1,112,21163,6720,902,8931,11334,7987,4036,2295,35.66,1,0
1,1,113,4220,4196,2675,5216,6916,2671,2960,1084,19.61,1,2
1,1,114,2595,15426,3054,4723,9984,3738,2614,911,46.03,1,2
1,1,115,13571,24589,9365,8458,5454,6644,2659,572,22.72,1,1
1,1,116,5294,8219,11686,1720,7415,4222,1850,2914,20.31,1,1
