ParticipantId,TrialId,Seq,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MiddleGamma,HRV,Level
1,1,89,92771,45158,8148,9116,11270,5455,2055,1914,29.48,0
1,2,1,19859,18317,1187,736,7982,3438,6310,1062,32.92,0
1,2,2,21749,34453,8762,10227,6716,4131,2101,785,28.44,0
1,2,3,11883,19221,757,8645,9377,10280,2769,1117,36.95,0
1,2,4,11551,143100,8138,13327,3719,5324,3188,2161,27.23,0
1,2,5,17400,4146,13422,6341,6546,3139,1153,1800,51.05,0
1,2,6,1894,8739,9266,7494,16439,2452,4053,1843,38.53,0
1,2,7,308178,232030,11229,73002,27431,7387,2590,3341,30.24,0
1,2,8,9398,17265,11,17219,5187,4583,1131,1089,26.01,0
1,2,9,9651,9170,11894,34900,11113,3619,1555,1789,22.83,0
1,2,10,33453,3641,8037,3495,6522,2651,2822,641,30.46,0
1,2,11,3087,4978,4197,10347,6374,4887,1668,1440,43.8,0
1,2,12,656,13763,7807,3504,7034,3439,3145,884,24.72,0
1,2,13,10232,23218,1530,5547,4671,3394,935,1357,34.6,0
1,2,14,20263,15453,6202,4175,3362,4154,7579,1784,31.6,0
1,2,15,15475,17294,9022,10527,6269,2947,940,1377,33.9,0
1,2,16,58850,7341,331,8501,7990,3211,5898,1572,31.46,0
1,2,17,3834,13063,2547,13743,9530,1539,6667,947,26.47,0
1,2,18,20561,3100,8672,3033,5849,3793,3148,1047,23.13,0
1,2,19,22878,8724,2155,4571,2096,4492,5440,2382,30.76,0
1,2,20,19072,171093,9306,67753,11473,4490,2493,823,25.77,0
1,2,21,189792,56243,11744,16175,14620,2260,2056,1695,32.85,0
1,2,22,15270,9611,4320,15535,14816,10029,4256,2601,28.69,0
1,2,23,107621,13024,5345,2208,5531,4647,3157,1163,28.31,0
1,2,24,8753,10927,5800,3158,25741,4185,787,1602,31.65,0
1,2,25,27052,13814,3068,5829,2737,6794,1371,1514,31.78,0
1,2,26,19931,8402,764,2090,10037,1613,8183,838,24.61,0
1,2,27,23976,14707,1897,3248,4864,3718,5519,1523,29.75,0
1,2,28,3761,23786,2943,8013,7605,2797,2180,1166,23.78,0
1,2,29,1977,5297,2511,2833,5275,1628,1693,320,45.17,0
1,2,30,8366,3695,646,5497,8301,3667,2069,501,23.99,0
1,2,31,11256,24368,1457,9353,3332,2923,4068,929,50.21,0
1,2,32,20539,15031,8137,2181,3882,3933,6685,1130,29.6,0
1,2,33,9840,21095,28065,11565,8948,4164,1180,1066,45.7,0
1,2,34,10945,151430,6483,7068,10589,3131,4484,2087,29.07,0
1,2,35,27300,8575,9337,16875,4975,6172,1069,909,32.07,0
1,2,36,3115,12013,8397,2946,4382,1774,3163,798,15.99,0
1,2,37,23232,4287,10755,10905,8033,1920,267,801,29.56,0
1,2,38,53801,42342,690,12048,4379,8481,3352,1400,31.88,0
1,2,39,24941,8362,1364,9021,9389,1676,1553,595,28.18,0
1,2,40,11677,13411,4475,4802,6277,3806,3066,2694,41,0
1,2,41,32349,21749,16958,19535,9142,2589,1796,1397,33.47,0
1,2,42,33113,7420,11683,4159,3122,3470,3169,1334,29.73,0
1,2,43,16392,8876,1323,11208,6964,9125,1414,1510,40.41,0
1,2,44,17289,178310,11435,73629,12831,4196,2558,562,28.19,0
